Disease,Symptoms,Treatment
Cassava Termite Damage,igi ati gbongbo ti o ṣofo ipilẹ ohun ọgbin ti o rẹwẹsi iṣubu ti eweko ti o dagba,Yọ idoti ohun ọgbin ti kokoro pọ si lo oriṣi ti ko ni kokoro esunsun lo itọju oogun apakokoro sori ile
Cassava Scale Insect Infestation,kokoro brown tabi funfun kekere bi irẹjẹ lori igi agbara ti o dinku ewe ti n di ofeefee,Mu awọn apanirun adayeba wa fun sokiri epo horticultural ge awọn igi ti kokoro pọ si
Cassava Grasshopper Damage,ihò aidogba ti a jẹ ninu ewe yiyọ ewe patapata ninu awọn ọran to le photosynthesis ti o dinku,Lo oogun apakokoro ti a ṣe iṣeduro fun awọn apanirun adayeba bii eye niyanju kore ni kutukutu ti akoran ba le
Cassava Nitrogen Deficiency,ewe ofeefee didan idagba ti o dinku igi tinrin idagbasoke isu ti ko dara,Lo ajile ọlọrọ ninu nitrogen fi maalu Organic kun ṣe iyipo irugbin to dara
Cassava Potassium Deficiency,ewe ti n di ofeefee ni eti ewe eti ewe ti o le fọ iwọn gbongbo ati isu ti ko dara,Lo ajile ọlọrọ ninu potasiomu lo eeru igi gege bi orisun Organic ṣe idanwo ile nigbagbogbo
Yam Leaf Blight,ọgbẹ ti omi rin lori ewe itankale kiakia ni oju ojo tutu iṣubu ewe,Fun sokiri oogun fungicide nigba akoko tutu mu ẹkun omi oko dara si yago fun gbingbin sunmọ ara wọn ju
Yam Rust,awọn oyun awọ osan bi ipata labẹ ewe ewe ti n di ofeefee ati sisọ ni kutukutu,Lo oogun fungicide ti o da lori sulfur yọ ewe ti akoran ti le rii daju aaye oko to dara
Yam Scale Insect Infestation,irẹjẹ brown kekere ti o so mọ ara isu didara isu ti o dinku ifun eso ti o pẹ,Toju eso pẹlu oogun apakokoro ki o to gbin fi isu pamọ ni ipo gbigbẹ ti o mọ
Yam Shoot Beetle Damage,ihò ninu awọn eweko ọdọ ipari ẹka ti n rọ idagba akọkọ ti o dinku,Lo oogun apakokoro ti a ṣe iṣeduro nigba gbingbin yọ ki o si pa eweko ti kokoro pọ si run
Yam Termite Damage,ihò ti a gbẹ sinu isu ati ipilẹ igi ohun ọgbin ti o rẹwẹsi iṣubu ẹka,Yọ idoti ohun ọgbin ti kokoro pọ si lo oogun apakokoro sori ile lo eso ti ko ni kokoro esunsun
Yam Bacterial Soft Rot,jijera tutu alalepo pẹlu oorun buburu fifọ ẹya ara kiakia ninu ipamọ,Wo isu san daradara ki a to fi pamọ yago fun ipalara nigba ikore da isu ti o kan nu lesekese
Yam Smut Disease,ere spore dudu bi eruku lori ara isu ati eweko idagba ohun ọgbin ti o dinku,Lo ohun elo gbingbin ti ko ni arun yago fun gbingbin ni oko ti o ti ni akoran tẹlẹ toju ile ki o to gbin
Yam Mild Mosaic Virus,ipare alawọ ewe ina laini lori ewe iparun ewe die eso ti o dinku diẹ,Lo isu irugbin ti a ṣe idanwo kokoro arun ṣakoso kokoro aphid yọ ohun ọgbin ti o kan gidigidi kuro
Yam Nitrogen Deficiency,ewe alawọ didan si ofeefee agbara ẹka ti o dinku iwọn isu kekere,Lo ajile nitrogen ni ipele idagba to yẹ fi maalu compost kun ṣe iyipo irugbin
Yam Potassium Deficiency,jijona ni eti ewe idagba ẹka alailera isu ti ko dagba daradara,Lo ajile potasiomu lo eeru igi gege bi afikun rii daju awọn ounjẹ ile to dọgba
Yam Tuber Cracking Disorder,awọn fifọ gigun lori ara isu ti omi aidogba fa iye ọja ti o dinku,Rii daju ọrinrin ile to duro nipasẹ mulching yago fun irigeson eru lojiji lẹhin akoko gbigbẹ kore ni akoko idagbasoke to yẹ
Yam Internal Browning Storage Disorder,iyipada awọ brown inu lai si ami ita ti n ṣẹlẹ nigba ipamọ gigun,Fi pamọ ni iwọn otutu ati ọrinrin ti a ṣe iṣeduro yago fun ipalara ẹrọ nigba mimu abojuto isu ti a fi pamọ nigbagbogbo
Sweet Potato Leaf Curl Virus,yiyi ewe si oke nipọn ewe idagba ẹka ti o dinku,Lo ohun elo gbingbin ti ko ni kokoro arun ṣakoso kokoro funfun yọ ohun ọgbin ti o kan gidigidi kuro
Sweet Potato Mild Mottle Virus,ipare die lori ewe iparun ewe die adanu eso kekere,Lo eso ẹka ti a jẹrisi ti ko ni kokoro arun ṣakoso kokoro aphid yago fun tun gbingbin lati oko ti o ni akoran
Sweet Potato Chlorotic Stunt Virus,idagba ti o dinku gidigidi iṣọn ewe ti n di ofeefee idasile gbongbo ipamọ ti o dinku,Lo ohun elo gbingbin ti a ṣe atokasi arun ṣakoso kokoro funfun yọ ohun ọgbin ti o ni akoran lesekese
Sweet Potato Bacterial Wilt,rirọ lojiji ti gbogbo ohun ọgbin iyipada awọ brown ti iṣan ara omi kokoro lati igi ti a ge,Lo oriṣi ti ko ni akoran ṣe iyipo irugbin yago fun gbingbin ni oko ti o ti ni akoran tẹlẹ
Sweet Potato Scab,ọgbẹ ti o le ti o si ga soke lori ara gbongbo didara ọja ti o dinku,Lo ohun elo gbingbin ti ko ni arun yago fun gbingbin ni ile ti o ni akoran fun ọpọlọpọ akoko pa iwontunwonsi pH ile mọ
Sweet Potato Alternaria Leaf Spot,awọn abawọn brown dudu yika pẹlu iyika lori ewe yiyọ ewe kuro ni kutukutu,Fun sokiri oogun fungicide yọ idoti ohun ọgbin ti o ni akoran yago fun irigeson lati oke
Sweet Potato White Rust,oyun funfun bi roro labẹ ewe yiyi ati iparun ewe,Fun sokiri oogun fungicide yọ ewe ti akoran ti le rii daju afẹfẹ san daradara
Sweet Potato Stem Rot,ọgbẹ dudu ni ipilẹ igi rirọ ati di ofeefee ti ẹka iṣubu ohun ọgbin,Yọ ki o si pa awọn ohun ọgbin ti o ni akoran run yago fun ile ti omi bò lo eso ti ko ni arun
Sweet Potato Mole Cricket Damage,ihò ti a gbẹ nipasẹ gbongbo ati igi ẹka ọdọ ti n rọ eweko ti a fa tu,Mura ile silẹ daradara ki a to gbin lo oogun apakokoro sori ile lo idẹkùn ìdẹ
Sweet Potato Flea Beetle Damage,ihò yika kekere ninu ewe irisi iho ibọn photosynthesis ti o dinku,Lo oogun apakokoro ti a ṣe iṣeduro yọ èpo ti o gba kokoro sile yi irugbin pada nigbagbogbo
Sweet Potato Termite Damage,igi ati gbongbo ti o ṣofo ilana ohun ọgbin ti o rẹwẹsi rirọ ati iṣubu lojiji,Yọ idoti ohun ọgbin ti kokoro pọ si lo oogun apakokoro sori ile lo ohun elo gbingbin ti ko ni kokoro esunsun
Sweet Potato Nitrogen Deficiency,ewe alawọ ofeefee didan idagba ẹka ti o dinku iwọn gbongbo kekere,Lo ajile nitrogen ni ipele idagba akọkọ fi compost kun mu ilora ile dara si
Sweet Potato Potassium Deficiency,eti ewe ti o jona idagba ẹka alailera didara gbongbo ipamọ ti ko dara,Lo ajile potasiomu lo afikun eeru igi ṣe idanwo ile ki a to gbin
Sweet Potato Internal Cork Disorder,ẹya ara brown ti o le ninu gbongbo ti a ko le riran lati ita ti kokoro arun eka fa,Lo ohun elo gbingbin ti a jẹrisi ti ko ni arun ṣakoso kokoro aphid ati kokoro funfun yago fun isodipupo lati ohun ọgbin ti o kan
